TSA,Year (copy),Count
Q,2021,387547
E,2021,324855
O,2021,122524
P,2021,100158
R,2021,94735
V,2021,71827
B,2021,62971
I,2021,53555
L,2021,30686
,2021,30425
M,2021,29822
G,2021,29183
A,2021,27211
N,2021,23380
H,2021,18526
J,2021,18097
U,2021,16644
T,2021,15953
C,2021,15398
D,2021,9606
S,2021,9520
K,2021,9030
V,2020,46061
U,2020,19048
T,2020,14996
S,2020,7895
R,2020,85705
Q,2020,296340
P,2020,96307
O,2020,106967
N,2020,19762
M,2020,27179
L,2020,26552
K,2020,13982
J,2020,19224
I,2020,47920
H,2020,24803
G,2020,27526
F,2020,26916
E,2020,304699
D,2020,9942
C,2020,14764
B,2020,58056
A,2020,26176
V,2019,44091
U,2019,21663
T,2019,18284
S,2019,8466
R,2019,83064
Q,2019,313266
P,2019,95597
O,2019,107749
N,2019,19839
M,2019,26728
L,2019,26139
K,2019,13856
J,2019,21820
I,2019,49476
H,2019,20450
G,2019,24822
F,2019,25903
E,2019,367414
D,2019,11902
C,2019,13025
B,2019,28750
A,2019,25525
