COUNTY,Measure Names,Profession,Measure Values
ZAVALA ,RANK,Assistant Behavior Analyst,0
ZAPATA ,RANK,Assistant Behavior Analyst,0
YOUNG ,RANK,Assistant Behavior Analyst,0
YOAKUM ,RANK,Assistant Behavior Analyst,0
WOOD ,RANK,Assistant Behavior Analyst,5
WISE ,RANK,Assistant Behavior Analyst,0
WINKLER ,RANK,Assistant Behavior Analyst,0
WILSON ,RANK,Assistant Behavior Analyst,0
WILLIAMSON ,RANK,Assistant Behavior Analyst,33
WILLACY ,RANK,Assistant Behavior Analyst,0
WILBARGER ,RANK,Assistant Behavior Analyst,0
WICHITA ,RANK,Assistant Behavior Analyst,13
WHEELER ,RANK,Assistant Behavior Analyst,0
WHARTON ,RANK,Assistant Behavior Analyst,0
WEBB ,RANK,Assistant Behavior Analyst,0
WASHINGTON ,RANK,Assistant Behavior Analyst,0
WARD ,RANK,Assistant Behavior Analyst,0
WALLER ,RANK,Assistant Behavior Analyst,10
WALKER ,RANK,Assistant Behavior Analyst,0
VICTORIA ,RANK,Assistant Behavior Analyst,0
VAN ZANDT ,RANK,Assistant Behavior Analyst,0
VAL VERDE ,RANK,Assistant Behavior Analyst,0
UVALDE ,RANK,Assistant Behavior Analyst,0
UPTON ,RANK,Assistant Behavior Analyst,0
UPSHUR ,RANK,Assistant Behavior Analyst,0
TYLER ,RANK,Assistant Behavior Analyst,0
TRINITY ,RANK,Assistant Behavior Analyst,0
TRAVIS ,RANK,Assistant Behavior Analyst,26
TOM GREEN ,RANK,Assistant Behavior Analyst,0
TITUS ,RANK,Assistant Behavior Analyst,0
THROCKMORTON ,RANK,Assistant Behavior Analyst,0
TERRY ,RANK,Assistant Behavior Analyst,0
TERRELL ,RANK,Assistant Behavior Analyst,0
TAYLOR ,RANK,Assistant Behavior Analyst,0
TARRANT ,RANK,Assistant Behavior Analyst,29
SWISHER ,RANK,Assistant Behavior Analyst,0
SUTTON ,RANK,Assistant Behavior Analyst,0
STONEWALL ,RANK,Assistant Behavior Analyst,0
STERLING ,RANK,Assistant Behavior Analyst,0
STEPHENS ,RANK,Assistant Behavior Analyst,0
STARR ,RANK,Assistant Behavior Analyst,0
SOMERVELL ,RANK,Assistant Behavior Analyst,0
SMITH ,RANK,Assistant Behavior Analyst,20
SHERMAN ,RANK,Assistant Behavior Analyst,0
SHELBY ,RANK,Assistant Behavior Analyst,0
SHACKELFORD ,RANK,Assistant Behavior Analyst,0
SCURRY ,RANK,Assistant Behavior Analyst,0
SCHLEICHER ,RANK,Assistant Behavior Analyst,0
SAN SABA ,RANK,Assistant Behavior Analyst,0
SAN PATRICIO ,RANK,Assistant Behavior Analyst,14
SAN JACINTO ,RANK,Assistant Behavior Analyst,0
SAN AUGUSTINE ,RANK,Assistant Behavior Analyst,0
SABINE ,RANK,Assistant Behavior Analyst,0
RUSK ,RANK,Assistant Behavior Analyst,0
RUNNELS ,RANK,Assistant Behavior Analyst,0
ROCKWALL ,RANK,Assistant Behavior Analyst,11
ROBERTSON ,RANK,Assistant Behavior Analyst,0
ROBERTS ,RANK,Assistant Behavior Analyst,0
REFUGIO ,RANK,Assistant Behavior Analyst,0
REEVES ,RANK,Assistant Behavior Analyst,0
RED RIVER ,RANK,Assistant Behavior Analyst,0
REAL ,RANK,Assistant Behavior Analyst,0
REAGAN ,RANK,Assistant Behavior Analyst,0
RANDALL ,RANK,Assistant Behavior Analyst,0
RAINS ,RANK,Assistant Behavior Analyst,0
PRESIDIO ,RANK,Assistant Behavior Analyst,0
POTTER ,RANK,Assistant Behavior Analyst,0
POLK ,RANK,Assistant Behavior Analyst,0
PECOS ,RANK,Assistant Behavior Analyst,0
PARMER ,RANK,Assistant Behavior Analyst,0
PARKER ,RANK,Assistant Behavior Analyst,0
PANOLA ,RANK,Assistant Behavior Analyst,0
PALO PINTO ,RANK,Assistant Behavior Analyst,0
ORANGE ,RANK,Assistant Behavior Analyst,0
OLDHAM ,RANK,Assistant Behavior Analyst,0
OCHILTREE ,RANK,Assistant Behavior Analyst,0
NUECES ,RANK,Assistant Behavior Analyst,27
NOLAN ,RANK,Assistant Behavior Analyst,0
NEWTON ,RANK,Assistant Behavior Analyst,0
NAVARRO ,RANK,Assistant Behavior Analyst,6
NACOGDOCHES ,RANK,Assistant Behavior Analyst,0
MOTLEY ,RANK,Assistant Behavior Analyst,0
MORRIS ,RANK,Assistant Behavior Analyst,0
MOORE ,RANK,Assistant Behavior Analyst,0
MONTGOMERY ,RANK,Assistant Behavior Analyst,17
MONTAGUE ,RANK,Assistant Behavior Analyst,0
MITCHELL ,RANK,Assistant Behavior Analyst,0
MILLS ,RANK,Assistant Behavior Analyst,0
MILAM ,RANK,Assistant Behavior Analyst,0
MIDLAND ,RANK,Assistant Behavior Analyst,0
MENARD ,RANK,Assistant Behavior Analyst,0
MEDINA ,RANK,Assistant Behavior Analyst,7
MCMULLEN ,RANK,Assistant Behavior Analyst,0
MCLENNAN ,RANK,Assistant Behavior Analyst,18
MCCULLOCH ,RANK,Assistant Behavior Analyst,0
MAVERICK ,RANK,Assistant Behavior Analyst,0
MATAGORDA ,RANK,Assistant Behavior Analyst,0
MASON ,RANK,Assistant Behavior Analyst,0
MARTIN ,RANK,Assistant Behavior Analyst,0
MARION ,RANK,Assistant Behavior Analyst,0
MADISON ,RANK,Assistant Behavior Analyst,0
LYNN ,RANK,Assistant Behavior Analyst,0
LUBBOCK ,RANK,Assistant Behavior Analyst,0
LOVING ,RANK,Assistant Behavior Analyst,0
LLANO ,RANK,Assistant Behavior Analyst,0
LIVE OAK ,RANK,Assistant Behavior Analyst,0
LIPSCOMB ,RANK,Assistant Behavior Analyst,0
LIMESTONE ,RANK,Assistant Behavior Analyst,0
LIBERTY ,RANK,Assistant Behavior Analyst,0
LEON ,RANK,Assistant Behavior Analyst,0
LEE ,RANK,Assistant Behavior Analyst,0
LAVACA ,RANK,Assistant Behavior Analyst,0
LAMPASAS ,RANK,Assistant Behavior Analyst,2
LAMB ,RANK,Assistant Behavior Analyst,0
LAMAR ,RANK,Assistant Behavior Analyst,0
LA SALLE ,RANK,Assistant Behavior Analyst,0
KNOX ,RANK,Assistant Behavior Analyst,0
KLEBERG ,RANK,Assistant Behavior Analyst,0
KINNEY ,RANK,Assistant Behavior Analyst,0
KING ,RANK,Assistant Behavior Analyst,0
KIMBLE ,RANK,Assistant Behavior Analyst,0
KERR ,RANK,Assistant Behavior Analyst,0
KENT ,RANK,Assistant Behavior Analyst,0
KENEDY ,RANK,Assistant Behavior Analyst,0
KENDALL ,RANK,Assistant Behavior Analyst,0
KAUFMAN ,RANK,Assistant Behavior Analyst,12
KARNES ,RANK,Assistant Behavior Analyst,0
JONES ,RANK,Assistant Behavior Analyst,0
JOHNSON ,RANK,Assistant Behavior Analyst,24
JIM WELLS ,RANK,Assistant Behavior Analyst,0
JIM HOGG ,RANK,Assistant Behavior Analyst,0
JEFFERSON ,RANK,Assistant Behavior Analyst,30
JEFF DAVIS ,RANK,Assistant Behavior Analyst,0
JASPER ,RANK,Assistant Behavior Analyst,0
JACKSON ,RANK,Assistant Behavior Analyst,0
JACK ,RANK,Assistant Behavior Analyst,0
IRION ,RANK,Assistant Behavior Analyst,0
HUTCHINSON ,RANK,Assistant Behavior Analyst,0
HUNT ,RANK,Assistant Behavior Analyst,0
HUDSPETH ,RANK,Assistant Behavior Analyst,1
HOWARD ,RANK,Assistant Behavior Analyst,0
HOUSTON ,RANK,Assistant Behavior Analyst,0
HOPKINS ,RANK,Assistant Behavior Analyst,0
HOOD ,RANK,Assistant Behavior Analyst,0
HOCKLEY ,RANK,Assistant Behavior Analyst,0
HILL ,RANK,Assistant Behavior Analyst,0
HIDALGO ,RANK,Assistant Behavior Analyst,25
HENDERSON ,RANK,Assistant Behavior Analyst,16
HEMPHILL ,RANK,Assistant Behavior Analyst,0
HAYS ,RANK,Assistant Behavior Analyst,0
HASKELL ,RANK,Assistant Behavior Analyst,0
HARTLEY ,RANK,Assistant Behavior Analyst,0
HARRISON ,RANK,Assistant Behavior Analyst,0
HARRIS ,RANK,Assistant Behavior Analyst,23
HARDIN ,RANK,Assistant Behavior Analyst,0
HARDEMAN ,RANK,Assistant Behavior Analyst,0
HANSFORD ,RANK,Assistant Behavior Analyst,0
HAMILTON ,RANK,Assistant Behavior Analyst,0
HALL ,RANK,Assistant Behavior Analyst,0
HALE ,RANK,Assistant Behavior Analyst,0
GUADALUPE ,RANK,Assistant Behavior Analyst,0
GRIMES ,RANK,Assistant Behavior Analyst,0
GREGG ,RANK,Assistant Behavior Analyst,0
GRAYSON ,RANK,Assistant Behavior Analyst,4
GRAY ,RANK,Assistant Behavior Analyst,0
GONZALES ,RANK,Assistant Behavior Analyst,0
GOLIAD ,RANK,Assistant Behavior Analyst,0
GLASSCOCK ,RANK,Assistant Behavior Analyst,0
GILLESPIE ,RANK,Assistant Behavior Analyst,0
GARZA ,RANK,Assistant Behavior Analyst,0
GALVESTON ,RANK,Assistant Behavior Analyst,34
GAINES ,RANK,Assistant Behavior Analyst,0
FRIO ,RANK,Assistant Behavior Analyst,0
FREESTONE ,RANK,Assistant Behavior Analyst,0
FRANKLIN ,RANK,Assistant Behavior Analyst,0
FORT BEND ,RANK,Assistant Behavior Analyst,31
FOARD ,RANK,Assistant Behavior Analyst,0
FLOYD ,RANK,Assistant Behavior Analyst,0
FISHER ,RANK,Assistant Behavior Analyst,0
FAYETTE ,RANK,Assistant Behavior Analyst,0
FANNIN ,RANK,Assistant Behavior Analyst,0
FALLS ,RANK,Assistant Behavior Analyst,0
ERATH ,RANK,Assistant Behavior Analyst,0
ELLIS ,RANK,Assistant Behavior Analyst,0
EL PASO ,RANK,Assistant Behavior Analyst,28
EDWARDS ,RANK,Assistant Behavior Analyst,0
ECTOR ,RANK,Assistant Behavior Analyst,0
EASTLAND ,RANK,Assistant Behavior Analyst,0
DUVAL ,RANK,Assistant Behavior Analyst,0
DONLEY ,RANK,Assistant Behavior Analyst,0
DIMMIT ,RANK,Assistant Behavior Analyst,0
DICKENS ,RANK,Assistant Behavior Analyst,0
DENTON ,RANK,Assistant Behavior Analyst,19
DELTA ,RANK,Assistant Behavior Analyst,0
DEAF SMITH ,RANK,Assistant Behavior Analyst,0
DE WITT ,RANK,Assistant Behavior Analyst,0
DAWSON ,RANK,Assistant Behavior Analyst,0
DALLAS ,RANK,Assistant Behavior Analyst,32
DALLAM ,RANK,Assistant Behavior Analyst,0
CULBERSON ,RANK,Assistant Behavior Analyst,0
CROSBY ,RANK,Assistant Behavior Analyst,0
CROCKETT ,RANK,Assistant Behavior Analyst,0
CRANE ,RANK,Assistant Behavior Analyst,0
COTTLE ,RANK,Assistant Behavior Analyst,0
CORYELL ,RANK,Assistant Behavior Analyst,0
COOKE ,RANK,Assistant Behavior Analyst,0
CONCHO ,RANK,Assistant Behavior Analyst,0
COMANCHE ,RANK,Assistant Behavior Analyst,0
COMAL ,RANK,Assistant Behavior Analyst,15
COLORADO ,RANK,Assistant Behavior Analyst,0
COLLINGSWORTH ,RANK,Assistant Behavior Analyst,0
COLLIN ,RANK,Assistant Behavior Analyst,35
COLEMAN ,RANK,Assistant Behavior Analyst,0
COKE ,RANK,Assistant Behavior Analyst,0
COCHRAN ,RANK,Assistant Behavior Analyst,0
CLAY ,RANK,Assistant Behavior Analyst,0
CHILDRESS ,RANK,Assistant Behavior Analyst,0
CHEROKEE ,RANK,Assistant Behavior Analyst,9
CHAMBERS ,RANK,Assistant Behavior Analyst,0
CASTRO ,RANK,Assistant Behavior Analyst,0
CASS ,RANK,Assistant Behavior Analyst,0
CARSON ,RANK,Assistant Behavior Analyst,0
CAMP ,RANK,Assistant Behavior Analyst,0
CAMERON ,RANK,Assistant Behavior Analyst,0
CALLAHAN ,RANK,Assistant Behavior Analyst,0
CALHOUN ,RANK,Assistant Behavior Analyst,0
CALDWELL ,RANK,Assistant Behavior Analyst,0
BURNET ,RANK,Assistant Behavior Analyst,0
BURLESON ,RANK,Assistant Behavior Analyst,0
BROWN ,RANK,Assistant Behavior Analyst,0
BROOKS ,RANK,Assistant Behavior Analyst,0
BRISCOE ,RANK,Assistant Behavior Analyst,0
BREWSTER ,RANK,Assistant Behavior Analyst,0
BRAZOS ,RANK,Assistant Behavior Analyst,0
BRAZORIA ,RANK,Assistant Behavior Analyst,21
BOWIE ,RANK,Assistant Behavior Analyst,0
BOSQUE ,RANK,Assistant Behavior Analyst,0
BORDEN ,RANK,Assistant Behavior Analyst,0
BLANCO ,RANK,Assistant Behavior Analyst,0
BEXAR ,RANK,Assistant Behavior Analyst,22
